 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
830,Image_14119-3.tif,38.354,29.97,0.537,10.068,385,638,170.538,5.601,1.858,0.538,0.862
831,Image_14119-3.tif,17.465,17.639,0.705,6.151,500,632,132.274,4.33,1.342,0.745,0.85
832,Image_14119-3.tif,27.225,21.978,0.708,7.332,52,635,163.61,5.793,1.123,0.89,0.853
833,Image_14119-3.tif,75.168,40.403,0.579,12.51,106,639,145.784,8.788,1.464,0.683,0.853
834,Image_14119-3.tif,18.321,17.497,0.752,6.736,295,637,132.51,4.14,1.88,0.532,0.839
835,Image_14119-3.tif,11.13,11.988,0.973,4.399,477,645,41.186,3.724,1.041,0.961,0.909
836,Image_14119-3.tif,10.102,14.128,0.636,6.025,247,639,164.055,2.483,2.942,0.34,0.843
837,Image_14119-3.tif,16.78,17.739,0.67,6.849,366,647,25.017,4.432,1.386,0.721,0.807
838,Image_14119-3.tif,13.013,14.813,0.745,5.763,173,641,111.038,3.611,1.648,0.607,0.864
839,Image_14119-3.tif,72.942,46.154,0.43,14.988,330,647,173.66,8.179,2.219,0.451,0.796
840,Image_14119-3.tif,39.21,24.017,0.854,8.531,280,645,140.906,6.207,1.174,0.852,0.937
841,Image_14119-3.tif,18.492,17.781,0.735,6.887,526,644,122.735,3.713,1.961,0.51,0.9
842,Image_14119-3.tif,97.084,45.468,0.59,15.919,413,653,152.103,8.512,1.8,0.556,0.869
843,Image_14119-3.tif,15.239,15.842,0.763,5.852,405,661,81.87,4.138,1.38,0.725,0.824
844,Image_14119-3.tif,31.334,22.906,0.75,7.697,186,664,53.746,6.46,1.186,0.843,0.853
845,Image_14119-3.tif,41.95,29.526,0.605,10.759,257,651,157.38,6.207,1.812,0.552,0.824
846,Image_14119-3.tif,19.006,18.466,0.7,7.63,565,663,49.399,4.425,1.958,0.511,0.822
847,Image_14119-3.tif,10.445,13.058,0.77,4.983,311,651,138.366,3.605,1.183,0.845,0.871
848,Image_14119-3.tif,28.937,25.631,0.554,10.144,162,652,101.768,4.982,2.571,0.389,0.797
849,Image_14119-3.tif,10.102,11.745,0.92,4.32,676,652,106.699,3.31,1.235,0.81,0.894
850,Image_14119-3.tif,11.13,13.058,0.82,4.682,452,654,135,3.724,1.085,0.921,0.897
851,Image_14119-3.tif,27.396,21.392,0.752,7.697,480,657,126.254,5.646,1.579,0.633,0.874
852,Image_14119-3.tif,42.292,27.771,0.689,10.345,211,657,143.13,6.443,1.537,0.651,0.874
